City,Date,month,day,year,Date,OFFENSE,Violent/Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,HOMICIDE,Violent 
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,ROBBERY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,ROBBERY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,ROBBERY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,BURGLARY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,BURGLARY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,ROBBERY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,SEX ABUSE,Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Mar,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,BURGLARY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,ROBBERY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,ROBBERY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,BURGLARY,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Mar,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Apr,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/19,1,1,2019,19-Apr,THEFT/OTHER,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Apr,SEX ABUSE,Violent
Washington DC,1/1/19,1,1,2019,19-Apr,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Apr,THEFT F/AUTO,Non-Violent
Washington DC,1/1/19,1,1,2019,19-Apr,THEFT/OTHER,Non-Violent
Washington DC,1/2/19,1,2,2019,19-Apr,THEFT/OTHER,Non-Violent
Washington DC,1/2/19,1,2,2019,19-Apr,THEFT F/AUTO,Non-Violent
Washington DC,1/2/19,1,2,2019,19-Apr,THEFT/OTHER,Non-Violent
Washington DC,1/2/19,1,2,2019,19-Apr,THEFT F/AUTO,Non-Violent
Washington DC,1/2/19,1,2,2019,19-Apr,THEFT F/AUTO,Non-Violent
Washington DC,1/2/19,1,2,2019,19-Apr,THEFT/OTHER,Non-Violent
