City,REPORT_DAT,Month,Day,Year,REPORT_DAT,OFFENSE,Violent/Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,BURGLARY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,BURGLARY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,ROBBERY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,ROBBERY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,ROBBERY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Jan,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,BURGLARY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,ASSAULT W/DANGEROUS WEAPON,Violent 
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT F/AUTO,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,MOTOR VEHICLE THEFT,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,ROBBERY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,ROBBERY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,ROBBERY,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT/OTHER,Non-Violent
Washington DC,1/1/20,1,1,2020,20-Feb,THEFT F/AUTO,Non-Violent
