Date,City,Cum_Open_Cases,Change in New Cases,% Change in New Cases
1-Mar,Denver,0,0,0.0%
2-Mar,Denver,0,0,0.0%
3-Mar,Denver,0,0,0.0%
4-Mar,Denver,0,0,0.0%
5-Mar,Denver,0,0,0.0%
6-Mar,Denver,2,2,0.0%
7-Mar,Denver,2,0,0.0%
8-Mar,Denver,2,0,0.0%
9-Mar,Denver,3,1,50.0%
10-Mar,Denver,4,1,33.3%
11-Mar,Denver,6,2,50.0%
12-Mar,Denver,9,3,50.0%
13-Mar,Denver,17,8,88.9%
14-Mar,Denver,23,6,35.3%
15-Mar,Denver,28,5,21.7%
16-Mar,Denver,28,0,0.0%
17-Mar,Denver,41,13,46.4%
18-Mar,Denver,45,4,9.8%
19-Mar,Denver,61,16,35.6%
20-Mar,Denver,79,18,29.5%
21-Mar,Denver,98,19,24.1%
22-Mar,Denver,125,27,27.6%
23-Mar,Denver,148,23,18.4%
24-Mar,Denver,176,28,18.9%
25-Mar,Denver,214,38,21.6%
26-Mar,Denver,262,48,22.4%
27-Mar,Denver,312,50,19.1%
28-Mar,Denver,367,55,17.6%
29-Mar,Denver,408,41,11.2%
30-Mar,Denver,465,57,14.0%
31-Mar,Denver,539,74,15.9%
1-Apr,Denver,586,47,8.7%
2-Apr,Denver,643,57,9.7%
3-Apr,Denver,716,73,11.4%
4-Apr,Denver,769,53,7.4%
5-Apr,Denver,825,56,7.3%
6-Apr,Denver,847,22,2.7%
7-Apr,Denver,884,37,4.4%
8-Apr,Denver,927,43,4.9%
9-Apr,Denver,1031,104,11.2%
10-Apr,Denver,1113,82,8.0%
11-Apr,Denver,1182,69,6.2%
12-Apr,Denver,1247,65,5.5%
13-Apr,Denver,1346,99,7.9%
14-Apr,Denver,1402,56,4.2%
15-Apr,Denver,1468,66,4.7%
16-Apr,Denver,1549,81,5.5%
17-Apr,Denver,1636,87,5.6%
18-Apr,Denver,1723,87,5.3%
19-Apr,Denver,1784,61,3.5%
20-Apr,Denver,1880,96,5.4%
21-Apr,Denver,2004,124,6.6%
22-Apr,Denver,2071,67,3.3%
23-Apr,Denver,2172,101,4.9%
24-Apr,Denver,2385,213,9.8%
25-Apr,Denver,2487,102,4.3%
26-Apr,Denver,2583,96,3.9%
27-Apr,Denver,2682,99,3.8%
28-Apr,Denver,2791,109,4.1%
29-Apr,Denver,2890,99,3.5%
30-Apr,Denver,3001,111,3.8%
1-May,Denver,3092,91,3.0%
2-May,Denver,3222,130,4.2%
3-May,Denver,3345,123,3.8%
4-May,Denver,3428,83,2.5%
5-May,Denver,3546,118,3.4%
6-May,Denver,3674,128,3.6%
7-May,Denver,3799,125,3.4%
8-May,Denver,3892,93,2.4%
9-May,Denver,4001,109,2.8%
10-May,Denver,4070,69,1.7%
11-May,Denver,4118,48,1.2%
12-May,Denver,4187,69,1.7%
13-May,Denver,4254,67,1.6%
14-May,Denver,4359,105,2.5%
15-May,Denver,4452,93,2.1%
16-May,Denver,4548,96,2.2%
17-May,Denver,4656,108,2.4%
18-May,Denver,4720,64,1.4%
19-May,Denver,4790,70,1.5%
20-May,Denver,4858,68,1.4%
21-May,Denver,4948,90,1.9%
22-May,Denver,5056,108,2.2%
23-May,Denver,5151,95,1.9%
24-May,Denver,5173,22,0.4%
25-May,Denver,5216,43,0.8%
26-May,Denver,5269,53,1.0%
27-May,Denver,5316,47,0.9%
28-May,Denver,5434,118,2.2%
29-May,Denver,5569,135,2.5%
30-May,Denver,5690,121,2.2%
31-May,Denver,5775,85,1.5%
1-Jun,Denver,5802,27,0.5%
2-Jun,Denver,5854,52,0.9%
3-Jun,Denver,5917,63,1.1%
4-Jun,Denver,5977,60,1.0%
5-Jun,Denver,6041,64,1.1%
6-Jun,Denver,6079,38,0.6%
7-Jun,Denver,6106,27,0.4%
8-Jun,Denver,6138,32,0.5%
9-Jun,Denver,6176,38,0.6%
10-Jun,Denver,6204,28,0.5%
11-Jun,Denver,6232,28,0.5%
12-Jun,Denver,6257,25,0.4%
13-Jun,Denver,6301,44,0.7%
14-Jun,Denver,6330,29,0.5%
15-Jun,Denver,6376,46,0.7%
16-Jun,Denver,6401,25,0.4%
17-Jun,Denver,6445,44,0.7%
18-Jun,Denver,6493,48,0.7%
19-Jun,Denver,6565,72,1.1%
20-Jun,Denver,6603,38,0.6%
21-Jun,Denver,6630,27,0.4%
22-Jun,Denver,6663,33,0.5%
23-Jun,Denver,6700,37,0.6%
24-Jun,Denver,6775,75,1.1%
25-Jun,Denver,6835,60,0.9%
26-Jun,Denver,6901,66,1.0%
27-Jun,Denver,6947,46,0.7%
28-Jun,Denver,7007,60,0.9%
29-Jun,Denver,7065,58,0.8%
30-Jun,Denver,7091,26,0.4%
1-Mar,Washington DC,0,0,0.0%
2-Mar,Washington DC,0,0,0.0%
3-Mar,Washington DC,0,0,0.0%
